ParticipantID,Age,HomeSize,MonthlyElectricityConsumption,MonthlyWaterConsumption,Rating,Location_Suburban,Location_Urban,DietType_Mostly Animal-Based,DietType_Mostly Plant-Based,TransportationMode_Car,TransportationMode_Public Transit,TransportationMode_Walk,EnergySource_Non-Renewable,EnergySource_Renewable,HomeType_House,HomeType_Other,Gender_Male,Gender_Non-Binary,Gender_Prefer not to say,LocalFoodFrequency_Often,LocalFoodFrequency_Rarely,LocalFoodFrequency_Sometimes,ClothingFrequency_Often,ClothingFrequency_Rarely,ClothingFrequency_Sometimes,SustainableBrands_True,EnvironmentalAwareness_2,EnvironmentalAwareness_3,EnvironmentalAwareness_4,EnvironmentalAwareness_5,CommunityInvolvement_Low,CommunityInvolvement_Moderate,UsingPlasticProducts_Often,UsingPlasticProducts_Rarely,UsingPlasticProducts_Sometimes,DisposalMethods_Composting,DisposalMethods_Landfill,DisposalMethods_Recycling,PhysicalActivities_Low,PhysicalActivities_Moderate
1,-0.6079364307510557,-1.0692555459439066,-1.5948948995937064,-1.3401550304157044,5,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
2,-1.0780541975461493,-0.02687276535695809,-0.3486491199237102,-0.11404539594090804,4,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True
3,1.4068539983707735,1.4622454926243968,0.897596659746286,1.1120642385338881,1,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
4,-0.13781866395596226,-0.8458878072467033,-1.1794796397037077,-0.9314518189241056,5,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False
5,-0.8765751546339663,0.4198627120374484,0.06676613996628854,0.2946578155506907,3,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True
6,0.93673623157568,1.0155100152299905,1.3130119196362848,1.520767450025487,1,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
7,-1.2795332404583322,-1.3670791975401777,-1.7610610035497059,-1.5853769573106635,5,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
8,-0.3392977068681452,0.12203906044117742,-0.7640643798137089,-0.27752668053754753,4,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True
9,0.5337781457513141,0.7176863636337194,0.4821813998562873,0.7033610270422894,3,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
10,-1.0108945165754217,-0.6225200685495001,0.7314305557902865,0.866842311638929,1,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
11,0.26513942186840356,-0.1757845911550936,-1.4287287956377068,-1.094933103520745,5,True,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
12,-0.5407767497803281,-0.9203437201457711,-0.09939996398971096,0.049435888655731466,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True
13,1.1382152744878629,-1.1437114588429744,1.0637627637022855,1.3572861654288475,1,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
14,-1.1452138785168768,-0.3246964169532291,-1.096396587725708,-0.767970534327466,5,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False
15,-0.0034993020145069886,-0.6969759814485679,-0.5978982758577095,-0.11404539594090804,4,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True
16,1.0038959125464078,0.568774537835584,0.23293224392228803,0.53987974244565,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
17,-0.8094154736632387,-1.2926232846411099,0.897596659746286,1.193804880832208,1,False,True,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
18,0.3994587838098589,0.04758314754210966,-1.3456457436597071,-1.0131924612224252,5,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
19,-1.34669292142906,-0.9947996330448389,-0.26556606794571047,-0.03230475364258829,3,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True
20,1.2725346364293182,1.3133336668262614,1.562261075570284,1.6842487346221264,1,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True
21,-0.20497834492668993,-0.4736082427513646,-1.6779779515717061,-1.421895672714024,5,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
22,-0.943734835604694,-0.7714318943476356,-0.016316912011711215,0.21291717325237097,3,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True
23,0.8695765506049523,-1.218167371742042,-0.9302304837697084,-0.44100796513418705,4,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
24,-1.2123735594876046,-0.5480641556504323,0.565264451834287,0.7851016693406092,1,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True
25,0.3322991028391312,-0.10132867825602584,-1.013313535747708,-0.8497111766257858,5,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False
26,-0.47361706880960047,-1.2479497369016692,-0.18248301596771072,0.1311765309540512,3,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
27,1.2053749554585906,1.164421841028126,1.3960949716142845,1.6025080923238066,1,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
28,-1.481012283370515,-0.9501260853053982,-1.5118118476157067,-1.2584143881173846,5,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
29,-0.27213802589741753,0.2709508862393129,-0.6809813278357092,-0.19578603823922777,4,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True
30,0.6009378267220418,-1.188385006582415,0.3990983478782875,0.6216203847439697,3,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
31,-0.7422557926925111,0.866598189431855,0.8145136077682863,0.9485829539372487,1,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
32,0.06366037895622065,-0.8012142595072627,-1.2625626916817074,-0.9723221400732655,5,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
33,-1.0780541975461493,0.04758314754210966,0.14984919194428828,0.3763984578490105,3,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True
34,1.0710555935171353,-1.0990379111035338,1.1468458156802852,1.4390268077271673,1,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
35,-1.34669292142906,-0.39915232985229687,-1.5948948995937064,-1.2992847092665445,5,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
36,-0.20497834492668993,-0.6523024337091272,-0.5148152238797097,-0.03230475364258829,3,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True
37,1.2053749554585906,0.6432304507346517,0.31601529590028776,0.6216203847439697,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False
38,-0.7422557926925111,-1.2628409194814827,0.9806797117242858,1.2755455231305277,1,False,True,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False
39,0.13082005992694828,-0.02687276535695809,-1.1794796397037077,-0.9314518189241056,5,True,False,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
40,-1.0108945165754217,-0.890561354986144,-0.18248301596771072,0.1311765309540512,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True
41,0.8024168696342248,1.2388777539271938,1.4791780235922842,1.6842487346221264,1,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
42,-1.4138526023997875,-1.3372968323805505,-1.6779779515717061,-1.5036363150123437,5,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
43,-0.27213802589741753,0.19649497334024515,-0.5978982758577095,-0.19578603823922777,4,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True
44,0.6009378267220418,0.6879039984740923,0.565264451834287,0.7851016693406092,4,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
45,-0.943734835604694,-0.5778465208100595,0.6483475038122868,0.866842311638929,1,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True
46,0.19797974089767595,-0.05665513051658519,-1.096396587725708,-0.8497111766257858,5,True,False,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
47,-0.40645738783887286,-1.2330585543218557,-0.09939996398971096,0.21291717325237097,3,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
48,1.2725346364293182,1.0899659281290581,1.229928867658285,1.520767450025487,1,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
49,-1.5481719643412428,-0.9203437201457711,-1.5948948995937064,-1.421895672714024,5,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
50,-0.3392977068681452,0.3454067991383807,-0.5148152238797097,-0.11404539594090804,4,True,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True
51,0.6680975076927694,-1.1734938240026014,0.4821813998562873,0.7442313481914493,3,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
